kepler_name,kepoi_name,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_impact,koi_depth,koi_steff,koi_slogg,koi_srad,koi_model_snr,Actual,Predicted,Probability
Kepler-82 b,K00880.01,26.44439337,3.9783,3.91,562.0,23.54,0.03,1843.5,5427.0,4.463,0.929,88.0,CONFIRMED,CONFIRMED,0.88
Kepler-82 d,K00880.04,2.382951591,1.8876,1.86,1253.0,583.01,0.479,391.6,5427.0,4.463,0.929,41.4,CONFIRMED,CONFIRMED,0.875
Kepler-104 d,K00111.03,51.75530504,7.4355,2.61,515.0,16.6,0.638,609.2,5979.0,4.394,1.005,116.9,CONFIRMED,CONFIRMED,0.875
Kepler-370 b,K02183.02,4.57948235,3.106,1.35,1040.0,276.82,0.055,207.1,5569.0,4.459,0.954,20.0,CONFIRMED,CONFIRMED,0.875
Kepler-701 b,K00849.01,10.35533116,3.1775,2.47,777.0,86.22,0.029,750.6,5501.0,4.462,0.918,49.2,CONFIRMED,CONFIRMED,0.875
Kepler-92 c,K00285.02,26.723169,8.501,2.31,781.0,88.1,0.035,195.0,5862.0,4.05,1.67,67.5,CONFIRMED,CONFIRMED,0.875
,K04288.04,13.9509565,5.231,0.75,849.0,122.88,0.467,35.7,5888.0,4.275,1.227,11.2,CANDIDATE,CANDIDATE,0.875
,K07506.01,11.8436119,6.044,1.41,830.0,111.98,0.067,199.3,6077.0,4.471,0.999,10.4,CANDIDATE,CANDIDATE,0.875
,K04896.02,49.537365,9.862,1.48,532.0,18.87,0.435,201.7,6118.0,4.416,1.023,10.1,CANDIDATE,CANDIDATE,0.875
,K03259.01,72.9332762,3.829,2.45,389.0,5.44,0.106,770.4,5316.0,4.47,0.902,11.3,CANDIDATE,CANDIDATE,0.875
Kepler-1277 b,K02556.01,40.8366307,4.956,1.5,496.0,14.3,0.363,264.8,5529.0,4.457,0.925,18.7,CONFIRMED,CONFIRMED,0.875
,K01023.01,8.4120069,3.923,1.71,590.0,28.69,0.022,819.6,4502.0,4.668,0.621,39.7,FALSE POSITIVE,CONFIRMED,0.87
,K06915.01,4.43529675,2.117,1.15,1026.0,261.33,0.353,181.9,5659.0,4.511,0.842,9.6,FALSE POSITIVE,CANDIDATE,0.87
,K03029.02,6.34724702,3.097,1.35,919.0,168.14,0.739,159.8,5300.0,4.385,0.986,11.1,CANDIDATE,CANDIDATE,0.87
Kepler-809 b,K01302.01,55.6391882,7.316,3.13,478.0,12.33,0.811,853.0,5949.0,4.493,0.962,48.3,CONFIRMED,CONFIRMED,0.87
Kepler-402 c,K02722.01,6.12479773,3.466,1.51,1140.0,399.43,0.79,129.3,6052.0,4.285,1.202,20.1,CONFIRMED,CONFIRMED,0.87
,K02582.01,40.0306267,4.815,2.01,617.0,34.19,0.322,214.5,5855.0,4.227,1.373,19.5,CANDIDATE,CONFIRMED,0.87
Kepler-158 c,K00446.02,28.55158187,4.1502,1.97,418.0,7.21,0.623,807.8,4621.0,4.605,0.668,36.0,CONFIRMED,CONFIRMED,0.87
Kepler-29 c,K00738.02,13.28689997,3.2825,2.78,715.0,61.8,0.017,1039.6,5730.0,4.545,0.87,41.3,CONFIRMED,CONFIRMED,0.87
,K06783.01,11.8496351,3.319,1.31,802.0,97.71,0.607,183.8,6032.0,4.508,0.929,9.6,CANDIDATE,CANDIDATE,0.87
Kepler-647 b,K00691.02,16.2254975,6.471,1.21,788.0,90.93,0.273,120.4,5956.0,4.322,1.098,20.3,CONFIRMED,CONFIRMED,0.87
Kepler-1623 b,K04803.01,4.36125889,2.174,1.2,1000.0,236.01,0.374,189.2,5520.0,4.544,0.873,10.7,CONFIRMED,CANDIDATE,0.87
Kepler-598 b,K00555.01,3.701765401,2.6061,1.63,1050.0,286.23,0.713,288.3,5252.0,4.442,0.898,35.9,CONFIRMED,CONFIRMED,0.865
,K00647.02,8.1134681,4.961,0.92,1127.0,381.27,0.454,40.5,6011.0,4.123,1.409,10.5,CANDIDATE,CANDIDATE,0.865
Kepler-307 c,K01576.02,13.08424286,3.0401,2.71,739.0,70.51,0.701,662.0,5511.0,4.426,0.987,51.2,CONFIRMED,CONFIRMED,0.865
Kepler-273 c,K01163.02,8.01500821,3.0137,2.0,865.0,132.46,0.645,363.0,5359.0,4.375,1.002,28.6,CONFIRMED,CONFIRMED,0.865
Kepler-1072 b,K02049.01,1.569066598,2.7803,1.68,1849.0,2763.39,0.097,147.2,5821.0,4.172,1.395,48.7,CONFIRMED,CONFIRMED,0.865
,K01892.01,62.5613879,5.907,3.54,417.0,7.13,0.842,1372.6,5662.0,4.56,0.84,35.0,CANDIDATE,CONFIRMED,0.865
Kepler-142 b,K00343.02,2.024143568,2.5273,1.94,1597.0,1535.09,0.513,239.4,5794.0,4.263,1.225,88.4,CONFIRMED,CONFIRMED,0.865
Kepler-768 b,K01101.01,11.39102358,2.303,1.67,618.0,34.55,0.732,448.6,4983.0,4.617,0.728,10.5,CONFIRMED,CANDIDATE,0.865
Kepler-253 b,K00921.03,3.78402867,1.9012,1.7,949.0,191.78,0.691,426.1,5196.0,4.593,0.775,25.6,CONFIRMED,CONFIRMED,0.865
Kepler-1328 b,K02730.01,4.52158614,3.4702,1.31,1214.0,513.68,0.203,106.2,5576.0,4.201,1.289,26.2,CONFIRMED,CONFIRMED,0.865
Kepler-203 b,K00658.01,3.162692075,1.9529,2.61,1308.0,692.32,0.716,503.7,5821.0,4.355,1.085,75.4,CONFIRMED,CONFIRMED,0.865
,K00473.01,12.70636123,2.395,2.75,697.0,55.86,0.793,871.7,5573.0,4.562,0.839,54.0,CANDIDATE,CONFIRMED,0.865
Kepler-215 c,K00700.03,14.6672293,3.742,1.21,675.0,49.12,0.596,198.1,5677.0,4.563,0.828,30.5,CONFIRMED,CONFIRMED,0.865
,K06310.01,7.04715073,1.434,1.54,932.0,178.49,0.272,282.5,5941.0,4.519,0.911,9.8,FALSE POSITIVE,CANDIDATE,0.865
Kepler-855 b,K01456.01,7.886632468,5.2147,8.99,996.0,232.07,0.048,6331.2,5847.0,4.304,1.135,392.3,CONFIRMED,CONFIRMED,0.865
Kepler-366 c,K02168.02,12.51610549,4.853,1.87,848.0,122.54,0.023,263.0,5859.0,4.335,1.162,22.6,CONFIRMED,CONFIRMED,0.865
Kepler-58 b,K01336.01,10.21864532,3.802,2.33,920.0,169.13,0.416,445.3,6100.0,4.376,1.083,26.6,CONFIRMED,CONFIRMED,0.865
Kepler-1049 b,K02006.01,3.27344784,1.7292,0.81,625.0,36.05,0.44,262.5,3758.0,4.769,0.496,34.0,CONFIRMED,CONFIRMED,0.86
,K03083.03,8.2942929,3.976,0.65,928.0,175.39,0.006,36.8,5843.0,4.421,1.084,10.1,CANDIDATE,CANDIDATE,0.86
Kepler-610 b,K00581.01,6.996926239,2.7374,3.21,888.0,147.07,0.022,1317.4,5713.0,4.541,0.893,101.6,CONFIRMED,CONFIRMED,0.86
Kepler-299 b,K01432.03,2.92721119,2.545,1.29,1258.0,593.23,0.043,170.2,5616.0,4.394,0.999,18.0,CONFIRMED,CONFIRMED,0.855
Kepler-1059 b,K02021.01,3.76417012,2.0111,1.7,908.0,160.99,0.287,558.4,5063.0,4.617,0.728,27.2,CONFIRMED,CONFIRMED,0.855
Kepler-501 b,K00239.01,5.640676975,2.8354,4.59,1125.0,379.36,0.033,1453.3,5794.0,4.282,1.216,145.9,CONFIRMED,CONFIRMED,0.855
Kepler-155 c,K00438.02,52.6615266,3.1592,1.87,271.0,1.28,0.682,1078.1,3984.0,4.72,0.539,38.4,CONFIRMED,CONFIRMED,0.855
,K04914.01,5.47455167,3.71,1.4,1155.0,419.95,0.931,73.2,5611.0,4.19,1.312,10.8,CANDIDATE,CANDIDATE,0.855
,K01519.02,57.132855,4.958,1.81,414.0,6.94,0.32,414.1,5157.0,4.445,0.904,11.0,CANDIDATE,CANDIDATE,0.855
,K04643.01,5.59346375,1.668,1.43,1008.0,243.63,0.079,236.5,5874.0,4.498,0.933,9.5,CANDIDATE,CANDIDATE,0.855
,K07540.01,21.980467,4.78,0.92,625.0,36.07,0.417,96.0,5573.0,4.418,0.936,10.1,CANDIDATE,CANDIDATE,0.855
,K04587.01,6.36283414,3.752,1.12,956.0,197.84,0.141,159.4,5955.0,4.534,0.883,9.9,CANDIDATE,CANDIDATE,0.85
Kepler-887 c,K01534.02,7.63846084,3.957,1.12,1089.0,333.3,0.405,71.7,6119.0,4.274,1.299,16.6,CONFIRMED,CONFIRMED,0.85
Kepler-127 c,K00271.02,29.39337161,7.0445,2.5,698.0,55.98,0.512,327.0,6075.0,4.264,1.352,69.7,CONFIRMED,CONFIRMED,0.85
Kepler-1598 b,K04383.01,4.34195312,2.598,0.94,1236.0,552.7,0.118,73.3,6164.0,4.378,1.09,10.6,CONFIRMED,CANDIDATE,0.85
Kepler-61 b,K01361.01,59.8780258,4.8027,2.19,273.0,1.31,0.004,1419.1,4016.0,4.658,0.599,51.8,CONFIRMED,CONFIRMED,0.85
Kepler-565 b,K00472.01,4.243748097,3.3603,3.16,1063.0,301.46,0.032,1409.7,5873.0,4.554,0.843,139.8,CONFIRMED,CONFIRMED,0.85
,K03031.01,7.64809462,2.216,1.19,840.0,117.65,0.265,195.9,5641.0,4.554,0.85,12.2,CANDIDATE,CANDIDATE,0.85
,K03248.01,6.91261536,2.359,0.64,981.0,218.66,0.656,34.4,5761.0,4.383,1.044,12.0,CANDIDATE,CANDIDATE,0.85
Kepler-948 b,K01750.01,7.76845639,3.689,1.35,841.0,118.09,0.353,217.8,5447.0,4.481,0.917,23.6,CONFIRMED,CONFIRMED,0.85
,K08055.01,4.40660737,2.107,0.86,1152.0,415.56,0.433,70.7,6063.0,4.47,1.001,8.1,CANDIDATE,CANDIDATE,0.845
,K03340.01,8.9539656,4.898,0.84,923.0,171.51,0.656,70.4,6168.0,4.452,0.947,12.2,CANDIDATE,CANDIDATE,0.845
Kepler-1191 b,K02327.01,5.60013327,2.6508,1.73,952.0,194.26,0.046,329.2,5288.0,4.391,0.978,22.8,CONFIRMED,CONFIRMED,0.845
Kepler-215 d,K00700.01,30.86436512,2.9557,2.23,527.0,18.22,0.851,551.3,5677.0,4.563,0.828,51.8,CONFIRMED,CONFIRMED,0.845
Kepler-284 b,K01301.01,12.69905011,2.9899,2.62,686.0,52.55,0.663,797.4,5291.0,4.489,0.882,30.4,CONFIRMED,CONFIRMED,0.845
,K04691.01,3.3879165,1.818,1.09,1336.0,750.6,0.117,78.6,5702.0,4.247,1.245,10.4,CANDIDATE,CANDIDATE,0.845
,K07989.01,4.85603482,3.078,1.05,1266.0,607.42,0.134,76.7,6469.0,4.385,1.193,8.2,FALSE POSITIVE,CANDIDATE,0.845
Kepler-811 b,K01308.01,23.58444746,5.5545,3.0,730.0,66.96,0.711,429.2,5655.0,4.152,1.354,42.8,CONFIRMED,CONFIRMED,0.845
,K00875.01,4.220965778,3.0854,2.62,595.0,29.68,0.705,2260.0,3837.0,4.747,0.517,157.8,CANDIDATE,CONFIRMED,0.84
Kepler-187 b,K00572.02,4.93883135,4.388,1.44,1244.0,566.38,0.633,123.5,6112.0,4.281,1.233,21.3,CONFIRMED,CONFIRMED,0.84
Kepler-1149 b,K02224.01,3.73090026,2.9095,1.48,1128.0,383.51,0.822,191.2,5709.0,4.489,0.95,24.0,CONFIRMED,CONFIRMED,0.84
Kepler-914 b,K01629.01,4.4096675,2.1418,1.51,1192.0,476.94,0.814,132.7,5836.0,4.347,1.166,26.4,CONFIRMED,CONFIRMED,0.84
Kepler-616 c,K00593.02,90.4117992,7.106,3.96,413.0,6.86,0.849,1265.0,6004.0,4.484,0.977,35.4,CONFIRMED,CONFIRMED,0.84
Kepler-171 c,K00509.02,11.46347165,2.599,3.0,752.0,75.57,0.103,1048.6,5456.0,4.45,0.943,56.5,CONFIRMED,CONFIRMED,0.84
,K07795.01,5.44085762,2.119,0.97,892.0,149.44,0.735,137.5,5519.0,4.59,0.762,9.3,CANDIDATE,CANDIDATE,0.84
,K00547.03,12.3860474,2.604,1.11,679.0,50.23,0.538,151.3,5121.0,4.457,0.888,9.1,CANDIDATE,CANDIDATE,0.84
Kepler-205 c,K00663.02,20.30652862,2.8014,1.58,389.0,5.4,0.714,715.4,4121.0,4.709,0.553,60.8,CONFIRMED,CONFIRMED,0.84
,K06406.01,8.65298599,1.549,1.36,734.0,68.48,0.529,313.8,5210.0,4.538,0.749,12.4,FALSE POSITIVE,CANDIDATE,0.835
,K00501.01,24.7962801,8.33,2.7,664.0,45.92,0.01,574.4,5770.0,4.333,1.141,43.6,CANDIDATE,CONFIRMED,0.835
Kepler-662 b,K00750.01,21.67699193,3.4555,2.95,530.0,18.64,0.896,857.2,4954.0,4.5,0.828,34.3,CONFIRMED,CONFIRMED,0.835
,K04410.01,5.04404366,1.682,1.47,1078.0,318.92,0.08,236.5,6039.0,4.493,0.951,11.6,CANDIDATE,CANDIDATE,0.835
,K07375.01,4.84847245,0.874,1.51,667.0,46.85,0.191,554.7,4137.0,4.625,0.647,11.4,CANDIDATE,CANDIDATE,0.835
Kepler-742 b,K00956.01,8.360870704,2.7144,3.67,690.0,53.68,0.494,2039.7,4743.0,4.516,0.81,120.9,CONFIRMED,CONFIRMED,0.835
Kepler-708 b,K00863.01,3.167893418,2.1814,2.62,1221.0,526.23,0.026,781.2,5895.0,4.503,0.94,64.8,CONFIRMED,CONFIRMED,0.835
Kepler-283 b,K01298.01,11.00817635,2.013,2.15,488.0,13.39,0.025,1462.5,4141.0,4.684,0.582,42.1,CONFIRMED,CONFIRMED,0.835
,K03301.01,20.7106368,2.693,1.12,626.0,36.18,0.604,142.5,5631.0,4.478,0.901,11.0,CANDIDATE,CANDIDATE,0.835
,K01480.02,7.00447892,2.669,1.19,754.0,76.26,0.139,231.4,4883.0,4.515,0.808,9.9,CANDIDATE,CANDIDATE,0.835
,K07479.01,7.1969168,4.525,1.1,1132.0,388.54,0.502,47.1,5530.0,4.045,1.575,10.4,CANDIDATE,CANDIDATE,0.83
Kepler-996 b,K01882.01,3.770590654,2.029,2.13,1272.0,619.65,0.24,314.4,5714.0,4.274,1.208,37.1,CONFIRMED,CONFIRMED,0.83
,K08258.01,54.432903,3.554,1.41,404.0,6.29,0.099,307.6,5119.0,4.493,0.827,7.7,FALSE POSITIVE,CANDIDATE,0.83
Kepler-503 b,K00242.01,7.258450123,5.7297,5.53,880.0,141.3,0.05,3714.7,5638.0,4.513,0.92,288.6,CONFIRMED,CONFIRMED,0.83
,K05863.01,8.67237968,2.826,0.87,825.0,109.61,0.1385,99.1,5620.0,4.498,0.882,12.3,CANDIDATE,CANDIDATE,0.83
Kepler-517 b,K00303.01,60.92818866,6.3336,2.78,467.0,11.28,0.009,755.6,5638.0,4.359,1.023,120.1,CONFIRMED,CONFIRMED,0.83
Kepler-935 b,K01716.01,4.88084456,2.5574,1.55,879.0,141.0,0.227,343.0,4929.0,4.481,0.861,32.6,CONFIRMED,CONFIRMED,0.825
Kepler-379 c,K02289.01,62.7843981,4.81,2.28,530.0,18.7,0.272,325.0,6053.0,4.279,1.26,21.1,CONFIRMED,CONFIRMED,0.825
Kepler-1168 b,K02271.01,55.8224775,5.457,2.13,379.0,4.85,0.031,879.6,5162.0,4.611,0.736,23.7,CONFIRMED,CONFIRMED,0.825
,K05020.01,4.34573349,2.246,0.86,1151.0,415.52,0.512,73.5,5967.0,4.43,0.976,9.7,FALSE POSITIVE,CANDIDATE,0.825
Kepler-766 b,K01094.01,6.10027621,4.7476,2.59,990.0,227.15,0.015,766.6,5957.0,4.506,0.937,43.2,CONFIRMED,CONFIRMED,0.825
,K07694.01,5.99321872,3.92,1.23,952.0,194.41,0.02,203.2,5853.0,4.544,0.868,9.5,FALSE POSITIVE,CANDIDATE,0.825
Kepler-303 b,K01515.01,1.937029968,1.4727,0.87,802.0,97.94,0.105,312.3,4042.0,4.761,0.49,42.8,CONFIRMED,CONFIRMED,0.825
,K01910.02,18.3848331,3.545,1.15,587.0,27.99,0.711,151.8,5083.0,4.468,0.872,10.3,CANDIDATE,CANDIDATE,0.825
Kepler-101 b,K00046.01,3.487688776,3.83661,5.64,1445.0,1033.07,0.026,1298.8,5576.0,4.065,1.593,350.6,CONFIRMED,CONFIRMED,0.825
,K03420.02,12.5014905,3.882,2.24,952.0,194.3,0.43,220.1,5821.0,4.127,1.492,10.8,CANDIDATE,CANDIDATE,0.825
,K02578.01,13.33094869,1.426,25.95,815.0,104.37,1.199,725.6,5991.0,4.394,1.039,17.1,CANDIDATE,CANDIDATE,0.825
Kepler-1482 b,K03371.02,12.25384348,2.373,1.0,678.0,50.05,0.441,147.7,5413.0,4.579,0.82,12.3,CONFIRMED,CANDIDATE,0.82
,K02263.03,15.5943758,7.367,1.08,801.0,97.35,0.5,95.4,6249.0,4.428,1.076,11.9,CANDIDATE,CANDIDATE,0.82
Kepler-374 d,K02220.02,5.02818253,3.526,2.03,1272.0,620.0,0.3,181.3,5640.0,4.087,1.515,26.1,CONFIRMED,CONFIRMED,0.82
Kepler-351 c,K02028.01,57.2488518,6.083,3.19,431.0,8.17,0.022,1455.6,5642.0,4.542,0.846,29.8,CONFIRMED,CONFIRMED,0.82
,K03420.01,5.77451117,3.752,1.87,1232.0,544.74,0.348,156.3,5821.0,4.127,1.492,11.2,CANDIDATE,CANDIDATE,0.815
,K04614.01,6.4546845,3.071,1.38,1244.0,565.72,0.93,69.9,6474.0,4.243,1.362,10.8,CANDIDATE,CANDIDATE,0.815
,K03111.02,4.32848303,2.955,0.66,1199.0,488.23,0.367,35.5,5874.0,4.338,1.096,11.4,CANDIDATE,CANDIDATE,0.815
Kepler-1212 b,K02371.01,12.94123564,4.636,1.7,795.0,94.29,0.028,328.8,6119.0,4.497,0.938,22.1,CONFIRMED,CONFIRMED,0.815
,K03372.01,26.7575866,5.858,2.28,660.0,44.86,0.407,455.3,6215.0,4.44,1.052,17.7,CANDIDATE,CANDIDATE,0.815
,K04539.01,25.9554044,8.491,1.46,656.0,43.9,0.952,122.7,6058.0,4.408,1.038,11.6,FALSE POSITIVE,CANDIDATE,0.815
Kepler-1048 b,K02005.01,6.92101452,4.3591,1.48,619.0,34.85,0.771,529.7,4461.0,4.661,0.585,39.9,CONFIRMED,CONFIRMED,0.815
Kepler-1591 b,K04337.01,8.18504859,4.673,0.93,892.0,149.41,0.601,97.6,5984.0,4.521,0.906,12.5,CONFIRMED,CANDIDATE,0.815
,K07426.01,6.96197304,2.806,0.97,778.0,86.68,0.103,151.3,5008.0,4.506,0.814,8.8,CANDIDATE,CANDIDATE,0.81
Kepler-384 b,K02414.01,22.5968256,6.179,1.3,670.0,47.7,0.062,142.9,5610.0,4.301,1.104,22.2,CONFIRMED,CONFIRMED,0.81
Kepler-326 d,K01835.03,6.76690759,1.7062,1.31,781.0,87.79,0.648,249.3,5103.0,4.558,0.789,29.7,CONFIRMED,CONFIRMED,0.81
Kepler-257 c,K00941.01,6.581477136,3.0896,4.56,881.0,142.63,0.137,2318.9,5188.0,4.4,0.973,116.2,CONFIRMED,CONFIRMED,0.81
,K01289.01,4.887806806,2.4078,5.71,918.0,167.54,0.561,4676.0,5284.0,4.523,0.812,116.1,FALSE POSITIVE,CONFIRMED,0.81
Kepler-84 c,K01589.02,12.88291395,5.676,3.15,865.0,132.23,0.962,460.5,6036.0,4.326,1.131,33.6,CONFIRMED,CONFIRMED,0.81
,K01378.01,19.30112039,6.0752,1.66,669.0,47.49,0.862,232.3,5687.0,4.408,0.943,45.0,FALSE POSITIVE,CONFIRMED,0.81
Kepler-922 b,K01655.01,0.938466959,1.3015,1.58,1876.0,2919.17,0.054,217.4,5499.0,4.323,1.087,54.4,CONFIRMED,CONFIRMED,0.81
Kepler-306 d,K01567.03,17.32670445,4.269,2.23,535.0,19.38,0.756,800.0,4955.0,4.61,0.721,34.8,CONFIRMED,CONFIRMED,0.81
Kepler-238 f,K00834.05,50.4467417,7.159,2.67,568.0,24.64,0.379,370.3,5739.0,4.191,1.384,19.4,CONFIRMED,CONFIRMED,0.81
Kepler-445 c,K02704.01,4.871223664,1.5916,1.56,341.0,3.18,0.706,6462.0,3157.0,5.112,0.18,50.5,CONFIRMED,CONFIRMED,0.805
Kepler-1370 b,K02857.01,20.2642023,4.664,2.12,770.0,82.92,0.914,185.3,5937.0,4.251,1.291,19.9,CONFIRMED,CONFIRMED,0.805
,K02503.01,14.8200596,3.902,0.96,552.0,21.92,0.059,184.9,4825.0,4.603,0.732,21.9,CANDIDATE,CONFIRMED,0.805
Kepler-210 b,K00676.02,2.453236139,1.6691,2.26,737.0,69.36,0.496,1723.2,3912.0,4.728,0.533,158.0,CONFIRMED,CONFIRMED,0.805
Kepler-847 b,K01434.01,2.343230566,2.0424,1.18,1054.0,292.31,0.047,246.5,4798.0,4.533,0.782,23.9,CONFIRMED,CONFIRMED,0.805
Kepler-136 b,K00312.01,11.57890926,2.7207,2.06,951.0,193.48,0.359,243.4,6156.0,4.284,1.303,54.8,CONFIRMED,CONFIRMED,0.805
Kepler-361 c,K02135.01,55.1866213,9.133,2.47,568.0,24.56,0.225,375.5,6178.0,4.269,1.267,36.2,CONFIRMED,CONFIRMED,0.805
Kepler-1289 b,K02614.01,7.99022379,3.273,1.97,1113.0,361.73,0.107,165.9,5689.0,4.065,1.542,17.6,CONFIRMED,CONFIRMED,0.805
,K05217.01,498.24938,8.73,14.02,441.0,8.95,0.1282,522.6,4949.0,3.136,6.334,11.8,FALSE POSITIVE,CANDIDATE,0.805
Kepler-872 b,K01511.01,2.578852119,2.3581,1.63,1230.0,540.56,0.625,334.3,5743.0,4.553,0.853,36.7,CONFIRMED,CONFIRMED,0.805
Kepler-973 b,K01841.01,49.6075771,2.9575,2.12,402.0,6.17,0.764,626.7,5187.0,4.592,0.774,44.9,CONFIRMED,CONFIRMED,0.8
,K05104.01,21.1579573,4.706,1.63,682.0,51.22,0.775,215.9,6063.0,4.476,1.012,10.2,CANDIDATE,CANDIDATE,0.8
Kepler-1098 b,K02103.01,2.543063763,2.8473,1.26,1319.0,716.3,0.215,152.0,5579.0,4.389,1.029,26.5,CONFIRMED,CONFIRMED,0.8
,K04303.01,200.721168,9.91,3.32,327.0,2.72,0.234,822.5,5566.0,4.275,1.17,13.1,FALSE POSITIVE,CANDIDATE,0.8
Kepler-1022 b,K01940.01,10.99470891,1.5929,1.71,512.0,16.24,0.265,884.7,4302.0,4.661,0.586,32.7,CONFIRMED,CONFIRMED,0.8
,K04793.01,5.2736268,5.291,0.89,1014.0,249.68,0.595,86.1,5851.0,4.515,0.918,8.7,CANDIDATE,CANDIDATE,0.8
,K00992.02,4.57834367,3.987,1.44,1206.0,499.41,0.232,140.7,5782.0,4.28,1.22,11.4,CANDIDATE,CANDIDATE,0.8
Kepler-306 b,K01567.02,4.64622383,2.5137,1.82,830.0,112.18,0.88,446.5,4955.0,4.61,0.721,28.2,CONFIRMED,CONFIRMED,0.8
,K00750.03,14.516741,2.706,1.45,606.0,31.8,0.851,227.2,4954.0,4.5,0.828,10.1,CANDIDATE,CANDIDATE,0.8
Kepler-1516 b,K03685.02,7.2593226,6.1394,1.57,967.0,206.88,0.366,247.5,5914.0,4.421,0.987,40.1,CONFIRMED,CONFIRMED,0.8
Kepler-1194 b,K02335.01,16.22378479,2.5462,1.51,676.0,49.35,0.413,262.3,5547.0,4.46,0.925,20.6,CONFIRMED,CONFIRMED,0.8
Kepler-5 b,K00018.01,3.548465446,4.56904,14.92,1640.0,1708.28,0.075,7251.5,6290.0,4.074,1.746,2486.5,CONFIRMED,CONFIRMED,0.8
,K02949.02,3.75030469,3.246,0.87,1374.0,842.07,0.77,35.5,5866.0,4.191,1.339,10.3,CANDIDATE,CANDIDATE,0.795
,K04661.01,8.61742738,2.713,1.01,733.0,68.28,0.059,154.9,5009.0,4.491,0.84,11.3,CANDIDATE,CANDIDATE,0.795
Kepler-338 d,K01930.03,44.4304059,10.306,2.61,680.0,50.42,0.025,238.5,5951.0,4.017,1.693,50.5,CONFIRMED,CONFIRMED,0.795
Kepler-577 b,K00494.01,25.69581456,4.0251,1.7,314.0,2.3,0.68,1130.8,3787.0,4.775,0.477,45.1,CONFIRMED,CONFIRMED,0.795
Kepler-219 b,K00718.01,4.585466941,3.4437,3.29,1307.0,688.54,0.823,383.5,5788.0,4.16,1.495,84.8,CONFIRMED,CONFIRMED,0.79
Kepler-90 g,K00351.02,210.6013843,11.9922,7.7,342.0,3.22,0.002,4159.3,5970.0,4.317,1.2,232.4,CONFIRMED,CONFIRMED,0.79
,K07460.01,5.70509519,1.58,1.58,947.0,189.8,0.469,283.6,5455.0,4.448,0.927,9.2,CANDIDATE,CANDIDATE,0.79
Kepler-1497 b,K03429.02,8.74192361,4.235,1.94,924.0,172.38,0.025,295.7,5596.0,4.298,1.145,18.5,CONFIRMED,CONFIRMED,0.79
Kepler-1462 b,K03305.01,65.6491001,7.298,2.52,390.0,5.48,0.038,983.9,5436.0,4.573,0.819,20.5,CONFIRMED,CONFIRMED,0.79
Kepler-606 b,K00575.01,24.31574009,4.1344,2.8,683.0,51.53,0.653,643.3,6242.0,4.442,1.047,42.5,CONFIRMED,CONFIRMED,0.79
Kepler-638 b,K00660.01,6.07972016,7.1228,2.32,1111.0,360.77,0.471,290.8,5460.0,4.139,1.346,77.9,CONFIRMED,CONFIRMED,0.785
,K03372.02,73.506021,5.734,2.37,471.0,11.66,0.473,485.6,6215.0,4.44,1.052,11.3,FALSE POSITIVE,CANDIDATE,0.785
Kepler-55 b,K00904.02,27.9541337,3.95,1.9,400.0,6.04,0.063,942.5,4500.0,4.656,0.646,25.4,CONFIRMED,CONFIRMED,0.785
Kepler-221 c,K00720.01,5.69059163,2.557,3.1,860.0,129.31,0.573,1384.3,5244.0,4.538,0.81,45.5,CONFIRMED,CONFIRMED,0.785
,K01574.04,8.9772888,4.72,1.79,1113.0,362.75,0.702,97.5,5597.0,3.963,1.699,10.3,CANDIDATE,CANDIDATE,0.785
,K08188.01,522.33888,13.53,5.65,327.0,2.69,0.039,423.7,5103.0,3.606,2.816,12.0,FALSE POSITIVE,CANDIDATE,0.785
,K05895.01,11.8307724,8.791,1.16,770.0,83.17,0.592,136.0,5550.0,4.411,0.958,12.4,CANDIDATE,CANDIDATE,0.785
,K02601.01,2.622134451,4.735,1.64,1548.0,1359.14,0.664,128.2,5864.0,4.199,1.369,42.9,FALSE POSITIVE,CONFIRMED,0.785
,K04972.01,26.092284,6.623,1.35,717.0,62.57,0.068,122.4,6346.0,4.362,1.214,12.2,CANDIDATE,CANDIDATE,0.78
,K06763.01,2.44693823,0.954,0.56,1379.0,855.53,0.611,26.4,5821.0,4.419,1.033,9.0,CANDIDATE,CANDIDATE,0.78
,K03495.01,17.6062701,6.134,1.72,753.0,75.96,0.923,146.2,5808.0,4.326,1.159,10.4,CANDIDATE,CANDIDATE,0.78
Kepler-42 b,K00961.01,1.213770423,0.5532,0.78,525.0,18.03,0.83,1821.0,3292.0,5.215,0.148,111.4,CONFIRMED,CONFIRMED,0.78
,K05909.01,7.07987663,2.589,1.36,738.0,70.05,0.034,309.8,4808.0,4.521,0.806,10.0,CANDIDATE,CANDIDATE,0.78
Kepler-717 b,K00893.01,4.40841331,5.012,2.66,1139.0,398.0,0.899,549.4,6007.0,4.457,0.961,45.1,CONFIRMED,CONFIRMED,0.78
Kepler-759 b,K01061.01,41.8059544,6.057,2.02,533.0,19.02,0.029,434.4,5907.0,4.445,0.973,28.3,CONFIRMED,CONFIRMED,0.775
,K04648.01,17.6604653,2.837,1.76,690.0,53.57,0.689,309.2,5910.0,4.505,0.94,11.3,FALSE POSITIVE,CANDIDATE,0.775
,K05757.01,44.637111,5.868,1.28,432.0,8.22,0.029,282.5,5222.0,4.518,0.78,9.4,FALSE POSITIVE,CANDIDATE,0.775
